CFFEX.IC00 中证500期货当月连续
CFFEX.IF00 沪深300期货当月
CFFEX.IH00 上证50期货当月连续
CFFEX.T00 10年期国债期货当季连续
CZCE.CF00 郑棉近月
CZCE.FG00 玻璃近月
CZCE.JR00 粳稻近月
CZCE.LR00 晚籼稻近月
CZCE.MA00 甲醇近月
CZCE.OI00 菜油近月
CZCE.PM00 普麦近月
CZCE.RI00 早籼稻近月
CZCE.RM00 菜粕近月
CZCE.RS00 菜籽近月
CZCE.SF00 硅铁近月
CZCE.SM00 锰硅近月
CZCE.SR00 白糖近月
CZCE.TA00 PTA近月
CZCE.WH00 强麦近月
CZCE.ZC00 动力煤近月
DCE.A00 豆一近月
DCE.B00 豆二近月
DCE.BB00 胶合板近月
DCE.C00 玉米近月
DCE.CS00 玉米淀粉近月
DCE.FB00 纤维板近月
DCE.I00 铁矿石近月
DCE.J00 焦炭近月
DCE.JD00 鸡蛋近月
DCE.JM00 焦煤近月
DCE.L00 塑料近月
DCE.M00 豆粕近月
DCE.P00 棕榈油近月
DCE.PP00 聚丙烯近月
DCE.V00 PVC近月
DCE.Y00 豆油近月
SHFE.AG00 沪银近月
SHFE.AL00 沪铝近月
SHFE.AU00 沪金近月
SHFE.BU00 沥青近月
SHFE.CU00 沪铜近月
SHFE.FU00 燃油近月
SHFE.HC00 热轧卷板近月
SHFE.NI00 沪镍近月
SHFE.PB00 沪铅近月
SHFE.RB00 螺纹钢近月
SHFE.RU00 橡胶近月
SHFE.SN00 沪锡近月
SHFE.WR00 线材近月
SHFE.ZN00 沪锌近月
